,职位,薪资,公司名称,公司地址,工作年限,学历
0,python,13k-17k,汉克时代,上海  ,3-5年,大专
1,Python,15k-30k,软通动力,深圳  ,3-5年,本科
2,Python,15k-30k,今日头条,成都  ,3-5年,本科
3,Python,12k-21k,软通动力,东莞  ,1-3年,本科
4,Python,10k-15k,腾信软创,北京 ,3-5年,本科
5,python,12k-20k,中软国际,深圳  ,3-5年,本科
6,Python,15k-30k,北京字节跳动,上海 ,3-5年,本科
7,Python,6k-9k,今日头条,北京 ,经验不限,本科
8,Python,10k-15k,上海易宝软件有限公司深圳分公司,东莞  ,3-5年,本科
9,Python,9k-14k,中软国际,西安  ,经验不限,本科
10,Python,5k-9k,筑梦园,沈阳  ,1-3年,本科
11,python,10k-20k,软通动力,深圳  ,3-5年,本科
12,Python,10k-15k,中软国际,武汉  ,3-5年,本科
13,Python,20k-30k,腾讯,深圳,3-5年,本科
14,Python,25k-50k,蚂蚁金服,杭州 ,3-5年,本科
15,Python,25k-50k,蚂蚁金服,北京,3-5年,本科
16,Python,10k-15k,海康威视,杭州 ,1-3年,本科
17,Python,20k-30k,狸米科技,北京 ,3-5年,本科
18,Python,10k-15k,文思海辉,南京 ,3-5年,本科
19,Python,20k-30k,旷视科技,北京 ,3-5年,本科
20,python,12k-24k,软通动力,南京 ,1-3年,本科
21,Python,15k-30k,今日头条,武汉 ,1-3年,本科
22,python,8k-13k,元拓科技,大连  ,1-3年,大专
23,Python,10k-14k,文思海辉,北京 ,3-5年,本科
24,Python,7k-12k,软通动力,西安  ,1-3年,本科
25,Python,10k-15k,中软国际,无锡  ,3-5年,本科
26,高级Python,18k-30k,明源云,深圳 ,3-5年,本科
27,python工程师,15k-30k,中方信富,北京 ,3-5年,本科
28,Python,10k-15k,软通动力,南京 ,1-3年,本科
29,Python,4k-8k,奥本景观规划设计,南京 ,经验不限,本科
30,Python,10k-15k,深圳雁联,上海 ,3-5年,本科
31,Python,10k-15k,兴融联科技,上海,1-3年,大专
32,Python,7k-12k,卫宁健康,合肥  ,3-5年,本科
33,Python,15k-25k,游族网络,上海  ,3-5年,本科
34,Python,8k-13k,环球房车,南昌  ,3-5年,大专
35,Python,20k-40k,今日头条,北京 ,1年以内,本科
36,Python/openCV,12k-17k,博彦科技,杭州  ,3-5年,本科
37,Python讲师,3k-8k,潭州教育,长沙 ,1-3年,大专
38,Python高级后台开发工程师,13k-16k,韵达,深圳  ,1-3年,本科
39,Python,13k-18k,软通动力,杭州  ,3-5年,大专
